Chapter No,Verse No,Shloka,English Translation,Explanation,filter_expl
1,1,धृतराष्ट्र उवाच | धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः | मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥1॥,"Dhritarastra said: O Sanjaya, what did my sons and the sons of Pandu actually do when, eager for battle, they gathered together on the holy field of Kuruksetra?","The two armies had gathered on the battlefield of Kurukshetra, well prepared to fight a war that was inevitable. Still, in this verse, King Dhritarashtra asked Sanjay, what his sons and his brother Pandu’s sons were doing on the battlefield? It was apparent that they would fight, then why did he ask such a question?The blind King Dhritarashtra’s fondness for his own sons had clouded his spiritual wisdom and deviated him from the path of virtue. He had usurped the kingdom of Hastinapur from the rightful heirs; the Pandavas, sons of his brother Pandu. Feeling guilty of the injustice he had done towards his nephews, his conscience worried him about the outcome of this battle.The words dharma kṣhetre, the land of dharma (virtuous conduct) used by Dhritarashtra depict the dilemma he was experiencing.  Kurukshetra is described as kurukṣhetraṁ deva yajanam in the Shatapath Brahman, the Vedic textbook detailing rituals. It means “Kurukshetra is the sacrificial arena of the celestial gods.” Hence, it was regarded as the sacred land that nourished dharma. Dhritarashtra feared that the holy land might influence the minds of his sons. If it aroused the faculty of discrimination, they might turn away from killing their cousins and negotiate a truce. A peaceful settlement meant that the Pandavas would continue being a hindrance for them. He felt great displeasure at these possibilities, instead preferred that this war transpires. He was uncertain of the consequences of the war, yet desired to determine the fate of his sons. Therefore, he asked Sanjay about the activities of the two armies on the battleground.",the two armies gathered battlefield kurukshetra well prepared fight war inevitable still verse king dhritarashtra asked sanjay sons brother pandu sons battlefield it apparent would fight ask question the blind king dhritarashtra fondness sons clouded spiritual wisdom deviated path virtue he usurped kingdom hastinapur rightful heirs pandavas sons brother pandu feeling guilty injustice done towards nephews conscience worried outcome battlethe words dharma kṣhetre land dharma virtuous conduct used dhritarashtra depict dilemma experiencing kurukshetra described kurukṣhetraṁ deva yajanam shatapath brahman vedic textbook detailing rituals it means kurukshetra sacrificial arena celestial gods hence regarded sacred land nourished dharma dhritarashtra feared holy land might influence minds sons if aroused faculty discrimination might turn away killing cousins negotiate truce a peaceful settlement meant pandavas would continue hindrance he felt great displeasure possibilities instead preferred war transpires he uncertain consequences war yet desired determine fate sons therefore asked sanjay activities two armies battleground
1,2,सञ्जय उवाच । दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा । आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ॥2॥,"Sanjaya said: But then, seeing the army of the Pandavas in battle array, King Duryodhana approached his teacher (Dronacharya) and spoke the following words:","Sanjay understood Dhritarashtra’s concern, who wanted an assurance that the battle would eventuate. Sanjay tried to allay his worry by informing that the Pandava army was standing in a military formation, ready for battle. Then he moved on to tell him what his son Duryodhana was doing on the battlefield.As King Dhritarashtra was blind, his eldest son Duryodhana virtually ruled the kingdom of Hastinapur. In the Mahabharata, he is described as very rude, egoistic, evil and cruel by nature. Since his childhood, he had a strong dislike for the Pandavas and left no opportunity to demean them. He was aware that to rule over the entire kingdom of Hastinapur unchallenged he needed to eliminate them. However, standing on the battlefield, when he saw the large Pandava army, he was baffled.  He had underestimated the Pandavas, the extent of military might they had gathered was way beyond his expectation.Duryodhana approached his guru Dronacharya with the pretense of offering respect, but his actual purpose was to palliate his own nervousness. His move towards his guru also reveals that the mammoth military formation of the Pandava army unnerved him and he was now fearful of the outcome of this war.The next nine verses are spoken by Duryodhan.",sanjay understood dhritarashtra concern wanted assurance battle would eventuate sanjay tried allay worry informing pandava army standing military formation ready battle then moved tell son duryodhana battlefieldas king dhritarashtra blind eldest son duryodhana virtually ruled kingdom hastinapur in mahabharata described rude egoistic evil cruel nature since childhood strong dislike pandavas left opportunity demean he aware rule entire kingdom hastinapur unchallenged needed eliminate however standing battlefield saw large pandava army baffled he underestimated pandavas extent military might gathered way beyond expectationduryodhana approached guru dronacharya pretense offering respect actual purpose palliate nervousness his move towards guru also reveals mammoth military formation pandava army unnerved fearful outcome warthe next nine verses spoken duryodhan
1,3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् । व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥3॥,"O teacher, (please) see this vast army of the sons of Pandu, arrayed for battle by the son of Drupada, your intelligent disciple, Dhrishtadyumna.","Duryodhana asked Dronacharya to look at the skillfully arranged military phalanx of the Pandava army led by their commander-in-chief Dhristadyumna, King Dhrupad’s son. He was also one of Dronacharya’s pupils. Duryodhana was subtly reminding his teacher of a mistake he had committed in the past.Many years back, Dronacharya along with the Pandavas had defeated King Drupad in a battle and took away half his kingdom. To avenge his defeat, Drupad performed a sacrifice to beget a son. Dhristadyumna was born out of that sacrificial fire, with a boon that he would kill Dronacharya in the future. Even though Dronacharya was aware, when he was approached for Dhristadyumna’s military training, he very humbly accepted and imparted all his knowledge impartially to his pupil.Duryodhana was reminding Dronacharya that even though Dhristadyumna was his pupil, he was also Drupad’s son, with a boon to kill him. He wanted to ensure that as in the past, Dhronacharya should not become lenient towards his pupils, now that, they were on the battlefield.",duryodhana asked dronacharya look skillfully arranged military phalanx pandava army led commanderinchief dhristadyumna king dhrupad son he also one dronacharya pupils duryodhana subtly reminding teacher mistake committed pastmany years back dronacharya along pandavas defeated king drupad battle took away half kingdom to avenge defeat drupad performed sacrifice beget son dhristadyumna born sacrificial fire boon would kill dronacharya future even though dronacharya aware approached dhristadyumna military training humbly accepted imparted knowledge impartially pupilduryodhana reminding dronacharya even though dhristadyumna pupil also drupad son boon kill he wanted ensure past dhronacharya not become lenient towards pupils battlefield
1,4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि | युयुधानो विराटश्च द्रुपदश्च महारथ: ॥4॥,"There are in this army, heroes wielding great bows, and equal in military prowess to Bhima and Arjuna: Yuyudhana (Satyaki) and Virata, and the maharatha (great chariot-rider) Drupada;","Due to his anxiety, the Pandava army seemed much larger to Duryodhan than it actually was. He had never expected his opponents would mobilize an army of warriors with such military prowess, who would be formidable in battle. Out of fear of the looming catastrophe, he started enumerating the names of all the mahārathīs (warriors who were singly equivalent in strength to ten thousand ordinary warriors) gathered on the Pandava side. They were all exceptional heroes, and great military commanders, equivalent in valor to his cousins Arjun and Bheem.",due anxiety pandava army seemed much larger duryodhan actually he never expected opponents would mobilize army warriors military prowess would formidable battle out fear looming catastrophe started enumerating names mahārathīs warriors singly equivalent strength ten thousand ordinary warriors gathered pandava side they exceptional heroes great military commanders equivalent valor cousins arjun bheem
1,5,धृष्टकेतुश्चेकितान: काशिराजश्च वीर्यवान् | पुरुजित्कुन्तिभोजश्च शैयश्च नरपुङ्गव: ॥5॥ युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |,"Dhrstaketu, Cekitana, and the valiant king of Kasi (Varanasi); Purujit and Kuntibhoja, and Saibya, the choicest among men;","Due to his anxiety, the Pandava army seemed much larger to Duryodhan than it actually was. He had never expected his opponents would mobilize an army of warriors with such military prowess, who would be formidable in battle. Out of fear of the looming catastrophe, he started enumerating the names of all the mahārathīs (warriors who were singly equivalent in strength to ten thousand ordinary warriors) gathered on the Pandava side. They were all exceptional heroes, and great military commanders, equivalent in valor to his cousins Arjun and Bheem.",due anxiety pandava army seemed much larger duryodhan actually he never expected opponents would mobilize army warriors military prowess would formidable battle out fear looming catastrophe started enumerating names mahārathīs warriors singly equivalent strength ten thousand ordinary warriors gathered pandava side they exceptional heroes great military commanders equivalent valor cousins arjun bheem
1,6,सौभद्रो द्रौपदेयाश्च सर्व एव महारथा: ॥6॥,"And the chivalrous Yudhamanyu, and the valiant Uttamaujas; son of Subhadra (Abhimanyu) and the sons of Draupadi all (of whom) are, verily, maharathas.","Due to his anxiety, the Pandava army seemed much larger to Duryodhan than it actually was. He had never expected his opponents would mobilize an army of warriors with such military prowess, who would be formidable in battle. Out of fear of the looming catastrophe, he started enumerating the names of all the mahārathīs (warriors who were singly equivalent in strength to ten thousand ordinary warriors) gathered on the Pandava side. They were all exceptional heroes, and great military commanders, equivalent in valor to his cousins Arjun and Bheem.",due anxiety pandava army seemed much larger duryodhan actually he never expected opponents would mobilize army warriors military prowess would formidable battle out fear looming catastrophe started enumerating names mahārathīs warriors singly equivalent strength ten thousand ordinary warriors gathered pandava side they exceptional heroes great military commanders equivalent valor cousins arjun bheem
1,7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम | नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ॥7॥,"But, O best among the Brahmanas, please be appraised of those who are foremost among us, the principal warriors of my army. I speak of them to you by way of example.","Dronacharya was a teacher of military science and not really a warrior. However, he was on the battlefield as one of the commanders of the Kaurava army. An impudent Duryodhana even doubted the loyalty of his own preceptor. Cunning Duryodhana purposefully addressed his teacher as dwijottama (best amongst the twice-born, or Brahmins). His denigrating and vailed reminder for Dronacharya was that, if he did not display his valor in this battle, he would be considered a lowly Brahmin, who was only interested in the fine food and lavish lifestyle at the king’s palace.Then to cover up his vicious words and boost his teacher’s and his own morale; Duryodhana started naming all the great generals present on the Kaurava side, describing their valor and military expertise.",dronacharya teacher military science not really warrior however battlefield one commanders kaurava army an impudent duryodhana even doubted loyalty preceptor cunning duryodhana purposefully addressed teacher dwijottama best amongst twiceborn brahmins his denigrating vailed reminder dronacharya not display valor battle would considered lowly brahmin interested fine food lavish lifestyle king palacethen cover vicious words boost teacher morale duryodhana started naming great generals present kaurava side describing valor military expertise
1,8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जय: | अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥8॥,"(They are:) Your venerable self, Bhisma and Karna, and Krpa who is ever victorious in battle; Asvatthama, Vikarna, Saumadatti and Jayadratha.",,nan
1,9,अन्ये च बहव: शूरा मदर्थे त्यक्तजीविता: | नानाशस्त्रप्रहरणा: सर्वे युद्धविशारदा: ॥9॥,"There are many heroes who have dedicated their lives for my sake, who possess various kinds of weapons and missiles, (and) all of whom are skilled in battle.",,nan
1,10,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् | पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥10॥,"Therefore, our army under the complete protection of Bhisma and others is unlimited. But the army of these (enemies), under the protection of Bhima and others is limited.","The commander-in-chief of the Kaurava army was Grandsire Bheeshma. Apart from being an exceptional warrior, he had an extraordinary boon. He could choose the time of his death, this meant he was practically invincible. Duryodhana felt that under Bheeshma’s command their army was undefeatable. Whereas, the Pandava army was secured by Duryodhana’s sworn enemy, Bheema. Hence, he started comparing his Grandfather Bheeshma’s strength with his cousin Bheema.Vinaash kale vipreet buddhi as the proverb goes, which means that when the end draws near, egoistic people indulge in vainglory instead of being humble in evaluating their situation. This tragic irony of fate is reflected here in Duryodhana’s self-aggrandizing statement that; their army’s strength secured by Bheeshma was unlimited.However, both Kauravas and Pandavas were Bheeshma’s grandchildren and as the oldest living member of the Kuru family, he was concerned about their welfare. He was compassionate towards the Pandavas, but was bound by his ethical commitment towards the throne of Hastinapur and its subjects. Therefore, halfheartedly, he led the Kaurava army against them.Bheeshma was also aware that in this holy war, along with all the great warriors of the world the Supreme Lord Krishna Himself was present. Lord Krishna was with the Pandavas, which meant Dharma was on their side, and no power in the entire universe could make the side of Adharma win.He had vowed to protect the kingdom of Hastinapur and its subjects and to fulfill his responsibility towards them Bheeshma led the Kaurava army, even though he was aware of their wrongdoings. This decision of Bheeshma accentuates his strength of character and enigmatic personality.",the commanderinchief kaurava army grandsire bheeshma apart exceptional warrior extraordinary boon he could choose time death meant practically invincible duryodhana felt bheeshma command army undefeatable whereas pandava army secured duryodhana sworn enemy bheema hence started comparing grandfather bheeshma strength cousin bheemavinaash kale vipreet buddhi proverb goes means end draws near egoistic people indulge vainglory instead humble evaluating situation this tragic irony fate reflected duryodhana selfaggrandizing statement army strength secured bheeshma unlimitedhowever kauravas pandavas bheeshma grandchildren oldest living member kuru family concerned welfare he compassionate towards pandavas bound ethical commitment towards throne hastinapur subjects therefore halfheartedly led kaurava army thembheeshma also aware holy war along great warriors world supreme lord krishna himself present lord krishna pandavas meant dharma side power entire universe could make side adharma winhe vowed protect kingdom hastinapur subjects fulfill responsibility towards bheeshma led kaurava army even though aware wrongdoings this decision bheeshma accentuates strength character enigmatic personality
